DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
10249,10005,10045,10248,10168,10155,10251,10177,10165,10254,10158,10168,10255,10149,10116,,,10114,,,10137,,,10141
10250,10001,10041,10246,10172,10155,10252,10175,10161,10255,10160,10165,10255,10150,10116,,,10118,,,10138,,,10138
10245,9999,10042,10249,10168,10152,10250,10181,10161,10253,10161,10168,10260,10152,10113,,,10116,,,10136,,,10138
10250,10004,10045,10250,10170,10159,10249,10182,10167,10254,10162,10169,10258,10151,10115,,,10119,,,10129,,,10137
10246,10002,10039,10250,10170,10156,10249,10176,10168,10256,10159,10168,10257,10151,10112,,,10116,,,10131,,,10140
10243,10000,10040,10247,10173,10161,10249,10181,10161,10254,10163,10171,10258,10153,10111,,,10115,,,10134,,,10142
10246,10001,10041,10242,10174,10157,10249,10179,10168,10255,10161,10167,10256,10154,10114,,,10116,,,10138,,,10137
10243,9999,10040,10249,10176,10154,10246,10179,10168,10254,10160,10165,10253,10151,10111,,,10114,,,10134,,,10137
10251,9999,10040,10245,10177,10160,10252,10179,10170,10253,10166,10169,10252,10151,10106,,,10119,,,10130,,,10139
10248,10002,10040,10248,10173,10155,10251,10179,10165,10254,10165,10168,10249,10153,10113,,,10120,,,10135,,,10134
